Ano,Numero,Sigla,Votacao [Data],Votacao [Hora],Votacao [ObjVotacao],Votacao [Resumo],Votacao [codSessao],Deputado [Nome],Deputado [Partido],Deputado [UF],Deputado [Voto],Deputado [ideCadastro],bancada [Sigla],bancada [orientacao]
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Luiza Erundina,PSB       ,SP,Não            ,74784,GOV.,Liberado       
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Roberto Alves,PRB       ,SP,Sim            ,152610,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Lázaro Botelho,PP        ,TO,Sim            ,141480,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Osmar Serraglio,PMDB      ,PR,Sim            ,73463,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Bruno Araújo,PSDB      ,PE,Não            ,141394,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Cacá Leão,PP        ,BA,Sim            ,93083,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Dimas Fabiano,PP        ,MG,Sim            ,160599,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Chico D Angelo,PT        ,RJ,Sim            ,141439,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Maria do Rosário,PT        ,RS,Sim            ,74398,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Carlos Gomes,PRB       ,RS,Sim            ,178962,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,João Rodrigues,PSD       ,SC,Não            ,160571,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Fabiano Horta,PT        ,RJ,Sim            ,146829,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Rubens Pereira Júnior,PCdoB     ,MA,Não            ,178887,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Jozi Rocha,PTB       ,AP,Sim            ,178851,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Dr. Jorge Silva,PROS      ,ES,Sim            ,160643,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Roney Nemer,PMDB      ,DF,Sim            ,178870,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Dulce Miranda,PMDB      ,TO,Sim            ,178994,-,-
2015,894,REQ,24/3/2015,17:23,REQ. DE URGÊNCIA PARA APRECIAÇÃO DO PL 623/2015,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 204; não: 147; total: 351.,5477,Adelmo Carneiro Leão,PT        ,MG,Sim            ,178890,-,-
